year,month,month_date,tmax,tmin,pet,monthly_precip,n_days,climatic_balance,spei
2015,12,2015-12-15,13.30967741935484,-3.2483870967741937,49.05847423879856,9.906,31,-39.15247423879856,0.34240705622318796
2016,1,2016-01-15,12.448387096774194,-4.232258064516129,50.913032719064134,7.874,31,-43.03903271906413,0.44082948422675167
2016,2,2016-02-15,19.182758620689654,-3.496551724137931,79.29337532376246,1.5239999999999998,29,-77.76937532376246,-1.480043662300403
2016,3,2016-03-15,22.761290322580646,1.7774193548387096,123.69154029016957,0,31,-123.69154029016957,-0.9316896378061075
2016,4,2016-04-15,23.893333333333334,5.11,144.64048001811094,6.35,30,-138.29048001811094,1.040783379066677
2016,5,2016-05-15,27.916129032258063,9.651612903225807,182.83072248274462,29.209999999999997,31,-153.6207224827446,1.5841370025805188
2016,6,2016-06-15,34.92,17.016666666666666,216.08652544093798,7.619999999999999,30,-208.46652544093797,0.27566302231021655
2016,7,2016-07-15,37.086666666666666,19.366666666666667,228.81228330223144,19.558,30,-209.25428330223144,-1.4807084135046835
2016,8,2016-08-15,32.229032258064514,17.203225806451613,179.89299543836134,57.91199999999999,31,-121.98099543836135,0.5907981753048602
2016,9,2016-09-15,30.10333333333333,14.703333333333333,143.92608065003847,17.018,30,-126.90808065003847,0.2517811074110267
2016,10,2016-10-15,28.080645161290324,9.82258064516129,118.41870394817431,18.796,31,-99.62270394817432,0.19602413565618446
2016,11,2016-11-15,19.4,3.106666666666667,67.97731349513315,16.764,30,-51.21331349513315,0.9291833974039393
2016,12,2016-12-15,14.448387096774193,-1.070967741935484,50.94408915861851,25.4,31,-25.54408915861851,1.0663911803439434
2017,1,2017-01-15,13.32258064516129,-0.0967741935483871,50.88664074195645,63.5,31,12.613359258043552,1.8602363533116157
2017,2,2017-02-15,18.65357142857143,1.0892857142857144,75.30056346229108,13.97,28,-61.33056346229108,0.4340971927431509
2017,3,2017-03-15,24.18064516129032,3.6516129032258067,129.04390556894194,1.5239999999999998,31,-127.51990556894194,-1.3970180671294992
2017,4,2017-04-15,25.883333333333333,5.88,155.6407625610769,4.064,30,-151.57676256107692,-0.38366815138482574
2017,5,2017-05-15,29.006451612903227,9.3,191.82800258409657,8.89,31,-182.93800258409658,0.22034498000145425
2017,6,2017-06-15,35.736666666666665,17.273333333333333,222.1306688488799,7.874,30,-214.2566688488799,-0.04505323922533246
2017,7,2017-07-15,34.348387096774196,19.587096774193547,203.12590010110506,73.406,31,-129.71990010110505,0.5167428701799454
2017,8,2017-08-15,32.41290322580645,18.561290322580646,175.85319934865674,121.666,31,-54.18719934865675,1.5754461789447345
2017,9,2017-09-15,33.336666666666666,15.793333333333333,161.8752097686162,14.478000000000002,30,-147.3972097686162,-0.9710782295736715
2017,10,2017-10-15,28.1,8.932258064516128,119.89513434257151,6.858,31,-113.0371343425715,-0.7428127284399504
2017,11,2017-11-15,22.633333333333333,3.87,77.96559028340913,7.112,30,-70.85359028340913,-0.7636697550161659
2017,12,2017-12-15,15.341935483870968,-3.945161290322581,54.49573963140757,4.571999999999999,31,-49.92373963140757,-0.554834667930751
2018,1,2018-01-15,15.096774193548388,-6.47741935483871,58.434351101313574,1.778,31,-56.656351101313575,-0.9511318137080528
2018,2,2018-02-15,18.24642857142857,0.13214285714285712,74.58532670055826,33.528,28,-41.05732670055826,1.6583852492089113
2018,3,2018-03-15,21.01290322580645,2.2548387096774194,114.47600853945416,1.016,31,-113.46000853945415,-0.001267677026319169
2018,4,2018-04-15,26.89666666666667,7.1433333333333335,159.8923013509978,0,30,-159.8923013509978,-1.2003423273882718
2018,5,2018-05-15,32.3,11.396774193548387,211.9764497112058,0,31,-211.9764497112058,-1.6056594626110423
2018,6,2018-06-15,36.81666666666666,18.606666666666666,226.6096713966084,30.987999999999996,30,-195.6216713966084,0.841311483873814
2018,7,2018-07-15,35.229032258064514,19.670967741935485,210.78238783595117,63.754000000000005,31,-147.02838783595115,0.05780539552834738
2018,8,2018-08-15,36.32258064516129,19.490322580645163,204.687036719118,12.7,31,-191.987036719118,-1.2363248170160597
2018,9,2018-09-15,36.02307692307692,16.506666666666668,177.58633979858595,33.528,30,-144.05833979858596,-0.6975489791996358
2018,10,2018-10-15,23.39,10.829032258064515,93.29790906470627,78.994,31,-14.303909064706275,1.8199751074936728
2018,11,2018-11-15,18.24,-0.44,66.8902403100892,1.016,30,-65.87424031008919,-0.16020765954638727
2018,12,2018-12-15,12.841935483870968,-1.432258064516129,46.894740151407504,17.525999999999996,31,-29.368740151407508,0.8969425507852009
